cell_type,pseudotime,Tmsb10,Tuba1b,Tubb2b,Tubb5,Tuba1a,Stmn1,Igfbpl1,Rplp0,Junb,Xist,Dynlt1a,Ptma,Aldoa,Gm10116,Ybx1,Stmn2,Snca,Ncdn,Eef2,Ppp3ca,Ftl1,Actg1,Pcp4,Actb,Tubb2a,Rasl10a,Zbtb20,Chchd10,Camk2a,Hn1,Chn1,Adcy1,Hmgn2,Fabp5,Cck,Ppp1r1a,Cnih2,Camk2b,Rps5,Atp1b1,Ypel3,Camk2n1,Sncb,Fxyd7,Rtn1,Selm,H3f3a,Ddn,Stmn4,Fxyd6,Rps9,Calb1,Wbp11,Cplx2,Sh3bgrl3,Mt3,Jun,Eif4a2,Rps4x,Prdx2,Nfib,Pkig,Ndrg4,Tcf4,Atp6v1g2,Crip2,Nsf,Ncald,Fth1,6330403K07Rik,Slc17a7,H3f3b,Chst1,Nrn1,Snap25,Nfix,Pea15a,Hist1h2bc,Itm2b,Rpl10a,Gm17750,Ptk2b,Meg3,H2afz,Nefl,Gng3,Gadd45g,Mt1,Cfl1,2010300C02Rik,Ramp1,Nrgn,Grp,mt-Nd4,Neurod2,Mif,C1ql2,Dynll1,Cdk4,C1ql3,Sparcl1,Caly,Gstp1,Tubgcp2,Olfm1,Btf3,Dlgap1,Serf1,Lypd1,Ly6h,Hpca,Elavl3,Syt7,Id2,Itm2c,Pcsk1n,Ensa,Arf3,2900055J20Rik,Lmo1,Rpl15,Gm10269,Rpsa,H1f0,H2afv,Hnrnpk,Rprm,Mllt11,Dpysl3,Nrp1,Tspan7,Gnb2l1,Syne1,Mapt,Hist3h2ba,Gm10605,mt-Nd1,Marcksl1,Abr,Bdnf,Thy1,Gm10053,Ubb,Crym,Hnrnpa1,Limd2,Scn1b,Scg5,Map2k1,Rps7,Ccl27a,Ier5,Tesc,Syp,Wipf3,Hist1h2al,mt-Co2,Erh,Pop5,Gm10260,Chgb,mt-Nd2,Prkce,Ttc9b,Eif1,Rpl7,Fam19a1,Ahcyl2,Jund,Rps18,Ppia,Scg2,Ccdc28b,Cpe,Rab40b,Prmt1,Atp2b1,mt-Co3,Ube2s,Cotl1,Tmeff2,Nptxr,Bhlhe22,Hmgb1,1110008P14Rik,Basp1,Cd81,Ranbp1,Atp5g2,Rpl10,Nptx1,Ift20,Islr2,Rps27a,Faim2,Nsg2,Nap1l5,Eif3f,Ppp1r14c,Lmo4,Arxes1,Tmem158,Ckb,Grin2b,2700094K13Rik,Gria1,Ctxn1,Nrsn1,Igfbp5,Nell2,Rogdi,Trim2,Rpl11,Camkv,Ptov1,Dnm1,Cst3,Rps24,Schip1,Pgbd5,Fam174a,Fabp3-ps1,Arl6ip5,Npm1,Pnmal2,Gm2000,Cpne6,Rps12,Mdh1,Nfia,Nav1,Ogfrl1,Stmn3,Dclk1,Mpc2,Rala,Mef2c,Rpl18a,Rgs7bp,Hpcal4,Rpl32,Bzw2,R3hdm4,Atp1a1,Gabra5,Pcdh17,Srsf3,Rpl27,AK157302,Hmgn1,Naca,Yae1d1,Bex4,Txn1,Nckap1,Eif1b,Rpl7a,Fdps,Cox5a,Ywhaq,Fkbp1a,Napa,Calr,Brinp1,Atp6v1d,Eif3h,Fam163b,Arpp21,Gria2,Gpd1,Rps15a,Mycbp2,Sepw1,Syt1,Icam5,Creg2,Gng13,Pafah1b1,Slc25a5,Glrx3,Mapk1,Kcnk1,Stxbp6,Ccdc85b,Tagln3,Rps17,Pcdh19,Mbnl2,Rp9,Sarnp,Atp6v1b2,Mat2b,Gas7,Hdac2,Rprml,Kcnk2,Sorl1,Gm12166,Gnas,Akr1a1,Atp6v1a,Ilf2,Cnnm1,Aplp1,Tef,Stk32c,Podxl2,Laptm4a,Klhl2,Rasgrf1,Pgm2l1,Col25a1,Ptprn,Chd3,Arpc1a,Phyhip,Eif4g2,Unc80,Mtfp1,Amd2,Faim,Cntnap5a,Ash1l,Uchl3,Fam220a,Atp5g1,Camkk1,Rock2,Tmem178,Rhob,Arhgap20,Vapa,Iqgap2,Nrcam,Adh5,Bex1,Gda,Ech1,Bbip1,Cttnbp2,Rac3,Gpm6b,Pebp1,Dnaja1,Fkbp4,Krt10,Cct5,Tmem59,Vps37b,Pkp4,Slc22a17,Mrps36,Gpm6a,Tpt1,Gabrb3,Tpd52l1,Rnf112,Zwint,Aak1,Eif4a1,Pip5k1a,Ddrgk1,Prrt1,Evl,Rilpl1,Ppm1e,Usp2,Ctnnbip1,Ildr2,Btg1,Tbcb,Atp5l,Ube2e3,Nrep,Ntf3,Oxct1,Cetn3,Cap1,Vstm2b,Fam3c,Epha4,Rprd1a,Gm8186,Nat14,Ndufc2,Marcks,Rnf121,Ntan1,Arhgdig,Pcbp4,Ppa1,Fam84a,Lmo3,Insig2,Cdh9,Susd4,Nrip3,Srsf5,Fam188a,Nt5dc2,H2afx,C2cd2l,Adk,Ppp1r9a,Ppdpf,Sprn,Ggnbp2,Atp2b2,Jak1,Rtn4,Eef1g,Pcsk2,Ephx4,Ccnd2,Nlgn3,Psmc5,Klf9,Gm11808,Coq7,Tax1bp1,Ap1s1,Rpl5,Tmem159,Psmb2,Frrs1l,Jph4,Nucks1,Phax,Sltm,H2-Ke6,Slc8a2,Grina,Pkib,Syt13,Atp6v1g1,6330403A02Rik,Dusp14,Ldha,Ghitm,Tpi1,Plk2,Eef1b2,Plvap,Cdc40,1810037I17Rik,Cacybp,4833439L19Rik,Rps28,Tmed4,Cdk17,Miat,Ppp4c,Ldhb,Trim44,Slc25a3,Pcdh9,Dbi,Prr13,Ak5,Ptpra,Smarcb1,Cyfip2,Ptpre,Wasf1,Gfra4,Tnrc6b,Cd47,Scn2a1,Idh3g,Tm2d3,Dbp,Pianp,Dock10,Sphkap,Nipsnap1,Aig1,Cadm2,Ap3s1,Napb,Zcchc14,Map1lc3a,Map7d1,Ccnl2,Akt1s1,Rpl18,Agap1,Ppib,Echs1,Wbscr17,Odc1,Prdx1,2700060E02Rik,Fbxw7,Dlg4,Tmem55b,Camk4,Polr2m,Vamp2,Snrpn,Btbd9,BC003965,Emc4,Commd7,Cct2,Ubxn6,Pcdh8,Elmo2,Golgb1,Cap2,Eif2a,6030419C18Rik,G3bp1,Ubc,Pgs1,Tmem50a,Mkl2,Snhg12,mt-Nd5,Rab6a,Serinc1,Dazap1,Slc7a14,Igsf8,Rps3a1,Hsp90aa1,Cct3,Syn2,Kcnc3,Tenm2,Nr3c2,H2afj,Ccdc85a,Txndc9,Snw1,Rb1cc1,Fam216a,Atp1a3,Arid4a,Ndrg3,Mrps26,Clta,Hap1,Yeats4,Tecr,Taldo1,Slitrk5,Rnps1,Tspyl4,Upf2,Ywhag,Bud31,Syf2,Tmem222,Npnt,Zfand2b,Kif5b,Tor1a,Slc35b1,Ctxn2,Luzp1,St6galnac5,Cycs,App,Znrd1,Ppfia2,Pdia6,Ppp5c,Ndufaf3,Smc3,Pde10a,Lsamp,Tsn,Ndn,Atp5c1,Vdac3-ps1,Dek,Itpka,Fubp1,B230217C12Rik,Agpat4,Hnrnph2,Tmem38a,Gna11,Zfp148,Hnrnpf,Erc2,Dgat2,Rab24,1110038F14Rik,Bbc3,Elk1,Zbtb18,Rnf6,Kifc2,Dpy30,Kbtbd11,Plekhg5,Car11,Srsf6,Irak1bp1,Rpp21,Rbck1,Eno2,Cct4,Rbfox1,Tmem191c,Gm27032,Usf2,Ralbp1,Lrrn2,Klf13,Morf4l2,Sez6l2,Bend6,AI593442,Taok3,Bmyc,Scamp1,Lancl1,Sdhc,Ube3a,Tango2,Wbp5,Ssb,Pnck,Ncs1,Sec11c,Fam131a,Lrrc7,Phf5a,Ebna1bp2,1700025G04Rik,H2afy,Arl6ip4,Ccdc59,Tma7,Nbea,Prdx5,Capns1,Cfl2,Ewsr1,Chrm1,Acyp1,Plcb1,Lhfpl4,Hnrnph3,Cacnb3,Gtf2i,Ndufs7,Akap7,Mink1,Sipa1l1,Lurap1l,Psmb3,Arhgef25,Lamtor5,Rph3a,Mpped2,C1qtnf4,Kctd4,Dpcd,Tsnax,Lamp1,Arid4b,Fbxo34,Tprgl,Clns1a,Zc3h14,Mageh1,Eif4g3,Ppp1r2,Rabl6,Rere,Ttc14,Tbpl1,Ap4s1,Eef1a1,Pgp
Granule immature,0.17264166254912927,0,0,0,3,0,1,0,7,0,0,0,11,6,3,1,0,21,2,1,11,2,7,9,1,1,0,5,1,1,2,3,2,1,1,2,3,3,5,6,2,5,1,3,0,3,3,1,4,1,0,7,4,1,6,1,2,0,15,2,3,0,3,5,0,1,0,3,6,38,0,0,10,3,1,3,0,1,3,0,2,0,1,0,0,1,0,0,1,4,0,0,3,0,4,2,1,0,3,0,3,3,6,2,1,3,1,5,0,2,5,1,1,0,0,1,1,2,4,0,1,3,7,1,4,2,1,0,3,0,0,2,1,1,1,0,0,10,0,3,0,0,8,6,2,1,1,0,3,3,13,0,0,0,0,1,1,4,0,1,2,0,2,1,0,7,6,0,1,0,1,7,1,0,1,2,0,2,7,0,0,0,1,0,3,0,1,1,0,0,1,3,1,0,5,0,0,0,4,0,1,0,0,0,0,1,2,4,1,0,3,0,1,2,1,0,1,1,2,0,1,1,1,1,2,1,8,2,3,2,0,0,0,3,0,5,1,1,6,0,0,3,0,2,1,1,0,0,2,0,0,2,0,1,1,1,0,4,0,3,1,8,0,0,1,1,0,0,0,6,0,0,3,17,0,0,1,0,1,2,0,2,0,2,3,1,2,1,0,0,2,0,0,0,0,0,0,1,1,1,3,2,0,1,2,1,0,0,1,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,2,1,2,0,0,0,2,2,2,0,0,3,1,0,2,0,0,0,4,2,0,1,0,0,1,2,0,0,0,1,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,9,0,0,0,2,0,0,0,3,2,0,1,0,0,1,3,0,1,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,2,1,0,1,0,1,3,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,3,1,0,1,1,3,2,0,3,1,0,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,3,2,0,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,2,3,2,1,0,0,1,0,0,1,1,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,2,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,1,2,0,0,0,0,0,1,0,0,1,1,3,0,0,2,0,1,0,0,0,1,0,0,14,1
Granule mature,0.2485117894361155,0,2,0,0,1,0,0,0,3,0,0,2,4,1,2,0,6,1,1,8,0,1,2,0,0,2,1,1,0,0,3,1,2,0,0,0,0,1,2,3,8,2,1,2,2,1,2,0,0,0,3,1,1,1,2,0,1,0,0,0,0,3,3,0,1,0,1,2,24,2,0,4,0,1,4,0,3,0,3,1,0,1,1,3,0,0,0,0,1,1,1,2,0,3,0,0,1,3,0,0,0,2,2,0,1,2,0,0,2,0,0,0,0,0,3,3,0,0,2,1,2,2,0,0,1,1,0,5,0,0,0,1,0,0,0,0,5,0,0,2,0,2,14,0,1,0,1,0,2,2,1,0,0,0,1,0,3,0,2,3,0,1,0,0,1,0,1,0,0,0,6,1,0,0,0,0,1,7,0,0,0,0,1,1,0,0,1,1,1,0,2,1,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,2,0,0,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,2,0,7,1,0,1,1,3,0,0,0,1,0,0,5,1,0,0,0,1,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,5,0
Granule immature,0.5603145877572013,48,20,11,8,13,9,0,22,1,6,7,26,3,14,19,11,12,2,7,7,11,15,6,1,7,2,3,7,3,4,3,1,2,0,0,5,18,1,7,3,0,3,4,7,6,7,2,0,9,1,10,0,0,6,3,2,2,1,8,3,5,1,5,5,2,4,2,0,54,4,0,22,0,1,1,2,2,0,1,16,2,0,5,6,0,1,1,0,4,2,0,3,0,8,2,4,1,12,2,2,0,2,9,0,5,9,2,0,0,4,0,2,0,0,0,6,6,0,0,1,21,11,4,2,0,1,0,18,2,2,0,6,0,2,2,0,16,1,1,2,0,6,18,1,6,2,0,1,0,13,1,0,0,1,0,0,13,2,0,10,0,5,1,2,8,5,0,0,2,4,14,0,5,0,0,1,3,10,1,0,1,0,2,6,0,0,0,1,0,2,0,2,1,7,0,1,0,1,0,0,0,2,1,2,1,6,7,0,2,0,1,0,3,1,0,0,1,7,1,1,0,2,2,3,1,9,1,1,1,2,5,2,6,1,0,1,0,11,1,0,14,0,2,0,1,0,2,8,1,0,12,0,2,3,0,2,2,0,1,0,4,1,1,0,2,2,1,2,4,0,2,0,17,0,1,1,0,1,1,0,1,2,1,1,3,16,0,0,0,1,2,1,0,1,0,0,0,2,5,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,1,0,0,0,1,0,0,0,2,0,8,0,1,0,0,0,0,0,2,1,2,0,0,7,1,0,0,6,1,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,6,0,0,0,1,0,0,1,0,0,1,2,1,1,2,0,1,0,2,0,0,2,1,1,1,0,1,0,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,10,0,0,2,0,0,2,17,0,0,1,1,1,1,0,2,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,0,0,0,0,1,1,0,2,0,1,4,3,14,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,0,0,4,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,1,2,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,2,2,1,0,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,38,0
Granule immature,0.193098016784719,2,1,1,0,1,0,0,9,0,0,0,12,5,2,1,0,9,1,2,14,0,4,15,0,2,5,1,2,2,0,2,0,1,0,4,3,7,3,6,5,2,5,5,0,4,2,1,1,0,0,5,2,7,3,3,7,0,2,7,0,3,8,5,1,5,0,4,2,38,0,0,15,1,1,3,0,1,1,4,2,0,1,0,2,0,2,0,1,3,0,3,3,1,4,1,5,1,11,0,1,1,2,3,2,5,1,3,0,7,1,1,1,0,0,0,3,4,2,1,2,3,4,0,1,0,0,1,4,0,1,1,1,0,0,0,0,11,0,3,1,6,2,23,2,0,0,1,2,0,15,0,0,0,1,3,2,7,1,1,5,1,3,2,0,26,3,1,1,0,1,6,0,2,0,2,1,1,12,1,1,1,0,1,1,2,0,0,1,1,0,0,1,1,9,0,0,1,2,0,1,0,0,3,2,0,3,3,0,0,2,0,2,0,1,1,2,0,3,3,2,2,0,2,4,1,3,1,2,0,16,0,1,0,3,2,0,0,5,0,0,18,0,3,0,0,0,0,4,1,0,1,1,1,0,1,3,2,0,1,2,3,0,0,0,1,0,0,0,3,0,1,2,11,1,1,0,0,1,5,0,1,1,0,3,2,3,0,1,0,0,0,0,1,0,0,0,2,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,1,0,1,1,1,1,0,1,8,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,1,0,0,3,0,0,0,3,1,1,1,1,2,2,2,0,5,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,10,0,0,1,1,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0,1,0,2,0,0,0,2,0,1,0,2,0,0,0,1,2,0,1,0,0,0,2,0,0,1,1,1,4,0,1,0,1,0,0,1,0,0,1,0,1,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,1,0,3,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0
Neuroblast,0.6635527689864008,128,37,14,31,18,23,12,67,4,6,14,50,5,48,31,21,37,3,25,15,32,29,19,7,16,2,35,1,6,16,1,1,7,5,1,2,13,5,24,1,4,1,7,3,38,4,14,1,12,11,41,0,2,7,6,3,3,8,22,11,15,4,4,15,0,5,6,4,58,13,8,67,0,0,5,4,2,0,9,14,7,1,4,21,1,7,5,0,17,0,0,11,0,22,4,10,0,15,5,0,0,2,13,0,5,6,1,5,0,6,2,9,0,2,0,12,2,25,1,0,22,20,11,1,3,2,3,28,11,10,2,5,0,12,8,0,54,13,2,2,1,7,63,2,1,1,4,3,0,32,1,0,0,1,0,1,17,7,1,20,0,15,5,5,18,21,0,0,9,3,21,1,5,2,0,2,8,23,7,6,1,3,5,8,3,17,3,3,3,2,2,0,7,11,4,14,0,5,6,1,1,0,0,14,3,5,8,0,0,4,0,6,4,2,3,2,2,13,0,0,3,8,0,7,2,5,0,10,4,5,5,1,3,3,7,5,0,32,2,2,25,5,4,1,4,0,5,18,1,4,9,2,1,1,2,8,10,0,5,11,10,4,4,0,2,4,2,1,4,0,5,5,33,5,0,0,1,7,4,2,1,3,0,1,8,10,1,0,0,2,0,0,0,3,0,0,0,2,13,2,3,1,0,3,0,3,2,1,3,0,0,0,0,1,2,0,8,0,0,1,3,3,2,1,0,13,0,0,1,4,0,3,0,0,0,2,0,0,4,1,9,1,12,5,2,2,4,0,1,1,1,2,5,11,1,0,1,4,1,16,0,1,0,4,0,1,0,5,0,0,4,2,3,3,0,2,4,3,0,3,6,0,5,0,2,2,1,5,8,1,3,0,2,1,0,0,0,2,0,1,1,0,0,1,5,2,0,1,0,2,14,0,1,0,1,0,0,39,0,1,1,10,1,2,1,2,1,1,0,1,0,1,0,0,8,2,1,3,1,1,1,14,0,0,3,1,1,17,0,1,0,1,4,0,2,1,1,3,1,1,1,3,0,1,1,4,0,1,0,0,0,0,0,3,1,1,2,2,2,0,4,0,2,0,8,0,3,1,0,3,1,4,0,2,0,5,1,7,3,1,0,2,0,3,2,0,2,4,0,0,1,0,2,0,1,0,0,0,5,2,3,0,0,6,1,1,4,0,1,0,0,0,0,2,1,1,1,2,0,0,5,1,1,3,2,1,2,5,0,12,0,1,0,0,0,1,0,1,1,0,2,1,3,2,1,1,0,2,1,2,1,1,1,10,3,0,0,3,0,2,0,1,0,0,2,2,0,0,1,1,0,6,0,1,4,2,0,1,2,0,3,0,0,0,8,1,0,3,1,0,1,5,0,1,0,3,1,2,1,0,0,0,5,1,2,1,1,0,2,0,1,0,0,0,1,1,1,4,0,1,0,1,0,1,2,0,1,2,1,0,0,1,0,3,0,3,0,1,0,1,0,0,1,0,0,3,3,0,0,2,1,1,1,0,0,0,55,1
Granule mature,0.22633300264227627,1,3,0,3,0,0,0,0,1,0,0,7,7,2,2,0,11,3,2,2,2,2,3,0,0,0,2,1,2,1,1,2,2,1,2,3,1,0,8,0,3,1,4,0,3,3,2,2,0,0,4,0,0,6,1,1,1,2,3,0,1,5,5,1,1,0,3,2,33,0,0,6,0,1,0,1,3,0,1,0,1,0,2,2,0,0,0,0,1,0,2,1,0,1,0,2,0,3,0,1,2,3,0,1,0,3,1,2,1,1,0,0,2,0,1,3,2,0,3,2,2,1,4,0,0,2,1,2,0,0,3,0,1,0,1,0,6,0,0,0,2,5,15,0,0,0,1,1,0,6,0,1,0,0,0,0,4,2,3,5,0,1,0,0,9,0,0,0,1,3,2,0,0,0,3,0,3,9,0,1,0,0,0,2,1,0,1,0,2,0,1,2,0,2,3,1,0,0,0,1,0,0,1,2,1,2,6,0,1,0,0,0,0,1,0,2,0,3,0,0,1,0,0,1,0,1,0,2,2,1,0,1,1,0,1,1,0,1,0,0,8,0,1,1,1,0,0,1,0,2,2,0,0,0,3,0,3,0,1,1,0,2,1,0,2,2,0,0,2,0,1,0,11,1,0,0,1,0,0,0,1,0,0,1,2,4,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0,2,0,1,1,0,0,1,1,1,1,2,0,3,0,0,1,0,5,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,2,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,3,1,0,10,0,0,0,2,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,1,0,2,0,0,0,1,0,1,0,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,5,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Granule immature,0.46411765784516723,21,2,4,3,5,4,1,11,5,2,4,19,2,14,7,2,16,0,4,8,6,7,7,5,4,2,6,0,3,2,2,3,6,2,1,3,8,8,6,5,2,1,5,1,7,3,2,0,5,1,9,0,0,4,4,4,0,4,5,1,4,0,0,16,1,4,3,8,45,1,1,13,0,4,2,1,0,0,0,7,0,1,0,3,2,1,0,0,7,0,1,8,1,4,3,8,1,13,0,4,0,5,3,0,26,3,0,0,2,5,0,3,3,0,0,2,3,2,1,0,9,10,2,1,0,3,1,12,1,0,0,0,0,3,1,0,18,1,2,1,2,5,8,1,2,2,1,0,0,10,1,0,0,1,0,0,5,3,0,3,1,9,0,5,12,2,2,0,0,6,21,0,0,0,1,1,6,6,5,1,0,0,2,2,2,3,0,2,0,0,0,3,1,6,1,2,0,2,1,0,0,0,1,4,1,2,6,0,0,0,0,2,1,1,0,1,1,5,0,0,1,4,0,0,3,4,2,1,0,2,2,0,3,0,4,6,0,8,0,0,4,0,0,0,3,0,1,2,0,1,2,0,0,3,0,3,1,1,0,0,4,1,1,0,0,4,1,1,2,0,1,1,16,2,2,0,1,2,1,4,2,0,2,1,0,1,2,1,1,0,1,0,0,0,2,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,1,0,0,0,5,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,5,0,0,0,1,1,0,0,1,0,1,1,1,2,0,1,0,2,0,1,0,2,0,0,0,0,1,0,2,1,0,3,1,1,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,5,0,1,0,0,1,3,13,0,0,2,0,0,1,0,2,0,1,0,1,0,2,1,0,3,0,0,1,0,3,0,1,0,0,1,0,1,4,0,0,0,0,2,0,5,0,1,0,1,0,1,2,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,1,0,0,5,0,1,2,5,2,0,1,0,0,0,1,0,2,0,0,1,2,4,0,0,0,1,2,0,0,1,1,0,1,0,0,2,1,1,1,0,0,1,1,0,1,0,1,0,2,0,0,2,0,1,0,0,0,0,0,2,1,1,1,2,1,0,1,0,1,1,1,1,6,1,0,0,1,1,3,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,1,1,1,1,0,1,0,2,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,4,1,2,1,0,2,1,0,1,1,2,0,3,3,0,2,2,1,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,1,1,0,0,2,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,19,1
