"","gene_index","negative_log_likelihood","mu","k1","k2","t0","phi","sd","alpha","beta","t0_lower","t0_upper","t0_std","k1_lower","k1_upper","k1_std","k2_lower","k2_upper","k2_std","mu_lower","mu_upper","mu_std","Fisher","Transform","Design_para"
"747","TMEM141",11194.0928687479,2.95610378115165,-97.546747824587,0.743585771062774,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Singular",0,NA
"748","PRDX4",38583.8614068034,4.85028765661659,32.4492263325231,0.488804792976553,0.0262671589942708,NA,NA,NA,NA,-0.377,0.429,0.205556989890156,-1241.234,1306.132,649.838148865547,0.094,0.884,0.201451552146379,4.419,5.282,0.220158470894991,"Non-singular",0,NA
"749","PRDX3",81504.5933903812,6.53135237503501,7.3039239548796,0.42908372741842,0.551870012515436,NA,NA,NA,NA,0.515,0.589,0.0187077412630112,5.543,9.065,0.898680715745821,-0.031,0.889,0.2345107239695,6.35,6.713,0.092703470453514,"Non-singular",1,NA
"750","PIGP",20716.6991873448,5.61578951832011,0.205584400534372,5.98605159813624,0.813478630573531,NA,NA,NA,NA,0.684,0.943,0.0659653720897858,0.027,0.384,0.0911125309985443,-5.757,17.729,5.99119059729822,5.466,5.766,0.0764859943966452,"Non-singular",1,NA
"751","HIDE1",17882.5386668729,3.37445934238911,0.109414875133649,3.38496876489935,0.366356795529344,NA,NA,NA,NA,0.266,0.467,0.0513325616766425,-1.943,2.162,1.04740240866622,1.941,4.829,0.736541274993645,3.176,3.573,0.101149247472709,"Non-singular",0,NA
"752","DEB1",23664.791712767,4.46859393280053,7.3052376104381,1.63351673994469,0.166931948870014,NA,NA,NA,NA,0.059,0.274,0.054858421271827,-12.494,27.105,10.1016874398415,1.109,2.158,0.267429211233464,4.228,4.709,0.122570802941604,"Non-singular",0,NA
"753","SLC25A17",111880.408142704,7.28816135694769,0.0302823146186681,84.0923873089081,0.926344842990594,NA,NA,NA,NA,0.878,0.975,0.0248652220177855,-0.044,0.105,0.038041173314386,-58.953,227.137,72.9820936801955,7.135,7.441,0.0779084509168753,"Non-singular",1,NA
"754","MRPS11",34904.3006464246,6.18610339808129,0.136422137772812,5.23851970692984,0.886794112120153,NA,NA,NA,NA,0.578,1.196,0.157724434536804,-0.02,0.293,0.0797054198962296,-32.735,43.212,19.3744319084403,6.031,6.341,0.0790693471032953,"Non-singular",1,NA
"755","RNF149",38462.2813508654,6.13562494299728,0.923860197107108,18.1933921668356,0.548488397433511,NA,NA,NA,NA,0.525,0.572,0.0120489226595824,0.477,1.37,0.227824777738375,14.491,21.896,1.88888240138424,5.967,6.304,0.0860962210100865,"Non-singular",0,NA
"756","AK203140",21523.0142359635,4.01791501985369,4.60264709584489,1.52450540435973,0.400233151377398,NA,NA,NA,NA,0.316,0.485,0.0430113613611175,0.935,8.27,1.87128035450173,0.837,2.212,0.350715050019404,3.875,4.161,0.0727575532749316,"Non-singular",0,NA
"757","ORC6",23871.1906944693,5.87610036102953,0.138574162654124,19.7374532424436,0.924651638863293,NA,NA,NA,NA,0.721,1.128,0.103757545511422,0.016,0.261,0.0623076243205715,-113.484,152.959,67.9701407261256,5.721,6.031,0.0791737004430277,"Non-singular",1,NA
"758","CNOT7",22724.1121926632,5.5204669849383,0.867424603117593,0.373227896641422,0.511306269948174,NA,NA,NA,NA,0.284,0.739,0.116186332636531,-0.36,2.095,0.626120670827648,-0.269,1.015,0.327601802182088,5.375,5.666,0.0741247380240768,"Non-singular",1,NA
"759","IDH1",69663.7512702913,4.30037544314884,2.29683126893619,16.0083412222685,0.712558052518925,NA,NA,NA,NA,0.671,0.754,0.0212719470115449,1.735,2.858,0.286516295315365,7.942,24.074,4.11526964490231,4.139,4.462,0.0825646801370312,"Non-singular",1,NA
"760","CDK1",26649.6139837205,6.05284414325164,2.69125903618064,0.0756948739703225,0.451601266414864,NA,NA,NA,NA,0.341,0.562,0.0564561892177559,0.595,4.787,1.06931216040156,-0.195,0.346,0.138051758396323,5.893,6.212,0.0813831443301008,"Non-singular",1,NA
"761","1700112E06RIK",12987.3351436504,3.54142892962801,15.9460558785326,4.48270523859376,0.223580250161661,NA,NA,NA,NA,0.173,0.275,0.0260170848183535,-1.193,33.085,8.74425802924962,3.493,5.472,0.504714971913099,3.342,3.741,0.101651625417781,"Non-singular",0,NA
"762","SNHG3",18020.9880311757,3.71253606746778,39.7232103019429,0.951162195471696,0.171040085624304,NA,NA,NA,NA,0.105,0.237,0.033750239242094,-13.685,93.131,27.2490061603044,0.68,1.222,0.138334153825891,3.557,3.868,0.0791810958574363,"Non-singular",0,NA
"763","ACAT2",12951.1921490313,3.48954016293132,40.2380192617735,2.34032278294233,0.164345024350692,NA,NA,NA,NA,0.103,0.226,0.0313685063840885,-14.148,94.624,27.7481913094394,1.818,2.863,0.266553121370983,3.301,3.678,0.095949120835952,"Non-singular",0,NA
"764","CLPP",31619.5135466505,6.05208916892442,0.201911878633079,-24.8654153263659,0.987976158486958,NA,NA,NA,NA,0.268,1.708,0.367242396067452,-0.116,0.519,0.161995013694175,-2649.221,2599.49,1338.9567857406,5.696,6.408,0.181639599488862,"Non-singular",1,NA
"765","CRELD2",19331.9600879059,3.94503372686767,32.0108064839043,0.612848222833683,0.0121630658570879,NA,NA,NA,NA,-0.443,0.467,0.232293548489211,-4584.514,4648.536,2355.36997010793,0.069,1.157,0.277697340821913,3.441,4.449,0.257062774244181,"Non-singular",0,NA
"766","ZNRD1",10685.751794571,3.48399251047477,2.52131747518466,33.3233211095007,0.326344901593752,NA,NA,NA,NA,0.294,0.358,0.0163457405661293,-0.974,6.016,1.78318383352106,21.88,44.767,5.83867299905298,3.245,3.723,0.121725499196355,"Non-singular",0,NA
"767","CDCA8",19121.2862790504,5.89631945450395,3.41865034466077,0.00169501173293618,0.412733168931947,NA,NA,NA,NA,0.306,0.52,0.0545122403573295,0.557,6.28,1.45989114703238,-0.218,0.222,0.112169201424447,5.738,6.055,0.0808768292778905,"Non-singular",1,NA
